id,hook,title,for,cat,link,comentarios,thumb
ig-DKue3icxjcx,"Profesor, ¿Como eres fuera de clase?",What are your dual personalities? Choreo by the fabulous,bailarines,"vibes, performance, transition hook, relatable",https://www.instagram.com/reel/DKue3icxjcx/?igsh=cnA0a3E1bGxtcHVy,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/3b0726af3258d189f7c9cda21b658cddede23c4d.jpg
ig-DJuv-ExSdR6,,Found a few brunettes in Frisco..,vocalist/rapper,"vibes, relatable, transition hook, performance",https://www.instagram.com/reel/DJuv-ExSdR6/?igsh=NjVzZjlrc2oyMnJ1,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/f5ca8eca863939de645c0c173901a5a2293d0932.jpg
ig-DNYGbBDSCSJ,That consistent Hi Hat Scratch is not easy,Back in 2021 (before I became a Promark artist),musician/band,"vibes, performance, relatable, storytelling",https://www.instagram.com/reel/DNYGbBDSCSJ/?igsh=MWFzZTA1NTRodDB2Mg==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/98181724bd28564b993c2e6372757c7f0a5886e0.jpg
ig-DOHAhQhjfDf,You keep asking me what's the hardest song I can play,MEXICO Hey there guys! Since Im headed to Mexico,musician/band,"vibes, performance, relatable, storytelling",https://www.instagram.com/reel/DOHAhQhjfDf/?igsh=dWV2aW9nMDYwbnE3,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/a9f5799a7fea554bb4e47ef2913294de70dd247a.jpg
ig-DM-RXWzNpCa,El bajista se compra un sistema inalámbrico,Dnde acabar la prxima vez?,musician/band,"vibes, relatable, transition hook, performance",https://www.instagram.com/reel/DM-RXWzNpCa/?igsh=MWswOXNqeWJud25zcA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/05223b870cda3199f414946ce89b2c507fd0d9a3.jpg
ig-DLkh-E0RK-Y,,My whole life is a God Story My new,vocalist/rapper,"performance, transition hook, vibes, relatable",https://www.instagram.com/reel/DLkh-E0RK-Y/?igsh=MWc5cDVkMmd5dG40OA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/c473b4fe4a5a2956cb03c94fc1f5fa567b1deb28.jpg
ig-DOY_uwFCOx6,,happy tuesday yall,bailarines,"vibes, relatable, transition hook, performance",https://www.instagram.com/reel/DOY_uwFCOx6/?igsh=MWMxYW02enZhbzFzZw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/f29288beff3735bdd6dd084f1bf80d83c5e7f460.jpg
ig-DK-ekpmukXH,,oldie but goodie,vocalist/rapper,"performance, vibes, relatable, transition hook",https://www.instagram.com/reel/DK-ekpmukXH/?igsh=MXM2ZmpkazVxd3B6dQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/86e102e3587ffda94560383ecb8d9431a4d35216.jpg
ig-DHovHYvgf7H,,@realblackcoffee in Aspen hazaeldelgado,dj,"vibes, performance, educational",https://www.instagram.com/reel/DHovHYvgf7H/?igsh=MWk4ZWF4dTBkM3N4dA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/99b8713549a39241eafb0ea9962c5046d36c2932.jpg
ig-DJXWPNtB8A2,What If bands had a snarist?,Im a snare player,musician/band,"performance, vibes, storytelling",https://www.instagram.com/reel/DJXWPNtB8A2/?igsh=cnI4bWhta3AxbTV5,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/77a1ab3ec8ee0433ccd66c9817e54179ccb615e4.jpg
ig-DLcP4bPM4Xi,POV: You only sing when you alone in school,This Song makes me wanna cry,vocalist/rapper,"vibes, relatable, performance, transition hook",https://www.instagram.com/reel/DLcP4bPM4Xi/?igsh=MWVwd2pqcjBxNHNwag==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/c46de482b8f658fdb8356b3fa108a6ada9056405.jpg
ig-DNtyRGR2Pwu,,Through the fire by @chakakhan,musician/band,"performance, vibes, storytelling",https://www.instagram.com/reel/DNtyRGR2Pwu/?igsh=cTZ0OHRoeWF1NDAx,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/be956aba4695442b3d667f41ff8d83fe93d3c040.jpg
ig-DOfPcIuDaH1,,Un Caf Celestial con Santo Por Siempre y t,vocalist/rapper,"vibes, relatable, transition hook, performance",https://www.instagram.com/reel/DOfPcIuDaH1/?igsh=azRscXptZmVhc3R0,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/8c800b372d5dee4bc4c4431d7061e4a72a1b4f36.jpg
ig-C3imkKIvAJK,,Los Angeles,musician/band,"performance, transition hook, vibes, relatable",https://www.instagram.com/reel/C3imkKIvAJK/?igsh=MTZ6cnd4ajdtemNlZQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/bfae51cc2c846df8806f7ee3432c12b4811ae5ef.jpg
ig-DMFa_Z5TFZb,,Love the way you lie,vocalist/rapper,"vibes, performance, relatable, transition hook",https://www.instagram.com/reel/DMFa_Z5TFZb/?igsh=czh6Z2Q4cGczdDJx,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/7d24e1f5dbce160192264bb6c022b6e33f731120.jpg
ig-DIhddVuSB7e,Baterista normal vs baterista quw le gusta Tool,La verdad es la verdad,musician/band,"vibes, performance, relatable",https://www.instagram.com/reel/DIhddVuSB7e/?igsh=MWpocnFuanNpajVpYQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/504842d2e146dab561d0dd5d4aac9fceab86a8e6.jpg
