id,hook,title,for,cat,link,comentarios,thumb
ig-DJ-BFCWTTpY,,"My All: timeless, powerful, unmatched",vocalist/rapper,"performance, transition hook, relatable, storytelling",https://www.instagram.com/reel/DJ-BFCWTTpY/?igsh=c2RzcXJlM2J4anNz,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/47b1a77ecbc01dc61073a16ff8cee8d35f619567.jpg
ig-DGJJTGxuSlz,My first time teaching at radix,seniors was thank you for making my first class,bailarines,"performance, relatable, transition hook",https://www.instagram.com/reel/DGJJTGxuSlz/?igsh=MTBoN2hzeGsxYWxw,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/d082e67bee0406cb27ae70d6c1001fb2b21cb2d9.jpg
ig-DHZgkF9yV5i,,Just a casual day at home lol Dc: @kevinbannier_,bailarines,"performance, transition hook, relatable, educational",https://www.instagram.com/reel/DHZgkF9yV5i/?igsh=MWhzcGZqM2VyYjVyZg==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/7d579086d32676f9cb4f99d8abbb4869690f8bad.jpg
ig-DJpg6Bth2YY,Mom: Who is Justin Timberlake,Just remember! @justintimberlake,vocalist/rapper,"performance, educational, transition hook, relatable",https://www.instagram.com/reel/DJpg6Bth2YY/?igsh=aXAyeDlraHpxYTB6,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/de49b4c4030088a16796cf2aac6e72440284d440.jpg
ig-DJ9dU4vRd9d,When the broke alcoholic sneaks in the studio...,Bro tried to record with $2 @thatsdax,producer,"educational, performance, transition hook, storytelling",https://www.instagram.com/reel/DJ9dU4vRd9d/?igsh=MThlN3lpNzNmOXY5Mw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/809e23b0866f23ef092936e60f0772152c8f7090.jpg
ig-DI96lodN77B,Cualquier persona escuchando Michael Jackson,El rey del pop se escucha con estilo @anshop2.4,bailarines,"transition hook, performance, comedy/sketch, storytelling",https://www.instagram.com/reel/DI96lodN77B/?igsh=MWU4Zms3MHplOWtkMw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/78894c2eddef2da1ca5811651799f86e3c69c063.jpg
ig-DK2UrEzJHAw,"She said she wanted to be a house wife, didn't realize this is what she meant",Is she a keeper?,dj,"performance, educational, relatable, storytelling",https://www.instagram.com/reel/DK2UrEzJHAw/?igsh=cnh6bjlqdHQxYW5m,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/1c001a8a0232875a15e3758bfafc723df2745a20.jpg
ig-DL28qnSSBaV,IN HEELS?,Again for the girls,bailarines,"performance, transition hook, relatable, comedy/sketch",https://www.instagram.com/reel/DL28qnSSBaV/?igsh=MTFyZHZ1cmk3MG5yeA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/8f2670ad4119324ea77e7fb4d3ecf248cb20a459.jpg
ig-DKu5tybNDyz,The DJ forgot to put on do not disturb,IT WENT DOWN THIS WEEKEND @avlizclothing,vocalist/rapper /bailarines,"performance, transition hook",https://www.instagram.com/reel/DKu5tybNDyz/?igsh=MWl1enNtN3E1cWM0MQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/bff59cf9564e28558820156d3a4f6bc8b163ec1f.jpg
ig-DGHIuJ7x0yb,,anybody else feel like this??,vocalist/rapper,"performance, educational, transition hook, relatable",https://www.instagram.com/reel/DGHIuJ7x0yb/?igsh=MTBleGc2aHpqa2U5dg==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/533cc4a28859a9fe193e4573680233ab7c87b252.jpg
ig-DKh5_xdNr8i,,Handy Version Dc : @itsslavik,bailarines,"performance, transition hook",https://www.instagram.com/reel/DKh5_xdNr8i/?igsh=NGs3aWRwaDQyYXJm,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/fe5977eae4a3687a656e4db0d6414aefd58fc275.jpg
ig-DLPzBh_RwVj,The #1 sign you can trust a radio station,Educational · Performance · Relatable · Transition Hook,vocalist/rapper,"educational, performance, relatable, transition hook",https://www.instagram.com/reel/DLPzBh_RwVj/?igsh=MXEzMG1rcjJoNmprbg==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/d05acad20dcf902f8c435b5d5e8e9bae5d34f265.jpg
ig-DH_R31OJwGJ,We put the camera lens in the mouth,anything for the shot. poser video out now!,vocalist/rapper,"performance, transition hook",https://www.instagram.com/reel/DH_R31OJwGJ/?igsh=MWVrc3Vwdm45anN3ZA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/894fcd5aa122f0bdfb796ab0a98c74248b6a9e92.jpg
ig-DNLeGNuR1Qn,,Bro is trying to join the Saja boys,vocalist/rapper,"performance, transition hook, relatable",https://www.instagram.com/reel/DNLeGNuR1Qn/?igsh=MXY5eW04NzRvcjJ5eg==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/11c1e851fa5be41adee5d5ee9f39a330848e6080.jpg
ig-DGdz46pMt7P,,Basado En El Contexto De Tendencias De Baile Y Redes Sociales · Las Mejores Categoras Para Sustituir La Clasificacin Actual Son: - Performance · Transition Hook · Relatable · Educational,bailarines,"basado en el contexto de tendencias de baile y redes sociales, las mejores categoras para sustituir la clasificacin actual son: - performance, transition hook, relatable, educational",https://www.instagram.com/reel/DGdz46pMt7P/?igsh=NDRsdHdtcGJtNjgx,,
ig-DGbnOasSKom,,"Good morning, enjoy your bagel, apple and steamy cup",vocalist/rapper,performance,https://www.instagram.com/reel/DGbnOasSKom/?igsh=ZHB3OXBuMXo1cThu,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/ed0c4899d1254053aa6b932392b26b11e9c1b607.jpg
ig-DMGeT-Ty8rP,,Supermassive black hole . . . . .,musician/band,"performance, storytelling, relatable",https://www.instagram.com/reel/DMGeT-Ty8rP/?igsh=MW5jaXR3aGNxamNseA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/a05fd7a463f8c6a58fa1f99c080c906247aa764d.jpg
ig-DFbg_fNPvML,,Love . . . . .,musician/band,"performance, storytelling, relatable",https://www.instagram.com/reel/DFbg_fNPvML/?igsh=ZGFlZ2V3YWw2cXQ2,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/6d46b009baf185f2028d9f526988434d61ea0bf2.jpg
ig-DNYHcZ9ol8l,POV: You're hearing the future of DJing,Is this DJ the future of Tech House? This,dj,"performance, educational, relatable",https://www.instagram.com/reel/DNYHcZ9ol8l/?igsh=MW9tb2hudWQwd2NyMQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/ab1e4bf249160d01c95ce8058a722f61357597d1.jpg
ig-DL7PCJwo-oV,Bro hears rock vs Techno for the first time,Who needs the full version? This and more songs,musician/band,"performance, comedy/sketch",https://www.instagram.com/reel/DL7PCJwo-oV/?igsh=b2JnbWQzczNkN3Bl,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/13974b2f58de5307f4674331de7ab41910ed8bc4.jpg
ig-DIACS7coSf3,,Papa Roach - Last Resort (backing track on my,musician/band,performance,https://www.instagram.com/reel/DIACS7coSf3/?igsh=eWxteHB3cjB4YWwy,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/47f337d03e54d7d5358469be33ce8c17b0f5b832.jpg
ig-DN_Q8TfEQR2,,i think i like you better when youre @reneerapp,vocalist/rapper,"performance, relatable, transition hook",https://www.instagram.com/reel/DN_Q8TfEQR2/?igsh=a3M1b3kzaGk4Nnh3,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/d79c127e2fdae29b14194a1516dbe4c08a86ef95.jpg
ig-DH8tLE4Ol8k,,Absolutely no one does it like Hayley @paramore @yelyahwilliams,musician/band,"performance, relatable, transition hook",https://www.instagram.com/reel/DH8tLE4Ol8k/?igsh=MXVpdWZrY3NqejZxMA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/a8646bd175bad4ab29074f728127e06629e2b236.jpg
ig-DKE9cTZJnSR,I'm hearing a melody in my head,My voice violin?! Try it out for free! Click,producer,"educational, performance, about me",https://www.instagram.com/reel/DKE9cTZJnSR/?igsh=cWF4Nzhic3NneW5v,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/fc3fb7b5109b0c56da8733eea38f2828fda88542.jpg
ig-DI3lsI7NAYt,,.,musician/band,"performance, relatable, storytelling",https://www.instagram.com/reel/DI3lsI7NAYt/?igsh=bWNrMTd0NXVoanc5,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/c93bced0d3c0fba9662a6587e8690cc6f2af1f29.jpg
ig-DMLF07QthTi,Eminem x Slipknot x Linkin Park,Part 2 Rate my stick catch 1-10 (its 10/10,musician/band,"performance, storytelling, relatable",https://www.instagram.com/reel/DMLF07QthTi/?igsh=aDFmMnhlN2QwYmY5,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/01dffbaebd2bea52b9fa1e164b6eb34c2c8cddda.jpg
ig-DMvXq59tQO5,Some bloopers,Some realness lol,musician/band,"performance, storytelling, about me, relatable",https://www.instagram.com/reel/DMvXq59tQO5/?igsh=MWJoaHc5aXRhZ3AwaA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/d108855cd57cb26fd6fc3db6c22e6e2c3995902f.jpg
ig-CyLuR9itSQp,,CUT CUT CUT ME UP AND ? Which is,musician/band,performance,https://www.instagram.com/reel/CyLuR9itSQp/?igsh=MTMzcjJwcmd3MDRsYg==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/ee9aa6e82ffce394c4984dd2b0bddc455643d17b.jpg
ig-DGBcLabiT-v,Bro got rejected,Song - I KNOW. by DC3 (link in bio),,"performance, transition hook",https://www.instagram.com/reel/DGBcLabiT-v/?igsh=MXhjZmpmMWFjMHR6dg==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/92b77d4a61378dd8ad7ed9340bf32f36429f88f3.jpg
ig-DJWf-9xpy3q,,Cosmic sans ..!!! . . . .,musician/band,"performance, storytelling, educational",https://www.instagram.com/reel/DJWf-9xpy3q/?igsh=ZzRnenF3bXJmYjd4,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/0dad79733ee0a1df88a78adb2bff7fb42e495184.jpg
ig-C2KAfGrSk5W,,"too many faces expressions, but a lot of feeling",musician/band,"performance, storytelling, educational",https://www.instagram.com/reel/C2KAfGrSk5W/?igsh=ejl0NGdyNHgzYjc5,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/b4b0784e8b2b424bada4f61e9a9e196f201f29e0.jpg
ig-DJ2F9hKym09,Send this to your best friend,Send this to your best friend!,vocalist/rapper,"performance, transition hook",https://www.instagram.com/reel/DJ2F9hKym09/?igsh=cTZwand1YXNqZGs=,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/fb20edfe136e4b82e2e388051ebb20a1c981c0ad.jpg
ig-DItiZ7KM3dL,,Stand firm youll win (OUT NOW) link in bio,,performance,https://www.instagram.com/reel/DItiZ7KM3dL/?igsh=OTUwNmg0Ymh4Y3Y4,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/929bec7ab76c98395f1a573487ddb28d18684c4a.jpg
ig-DLn4DcZA8bb,party in the USA longest mashup i can do,Happy Fourth everybody,vocalist/rapper,"performance, transition hook, relatable",https://www.instagram.com/reel/DLn4DcZA8bb/?igsh=aHF1d3J3Nno0ZnBt,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/33bd9751acced4c4c08c4389d950a22b13097678.jpg
ig-DCseVcCvb8L,POV: You ask your white boyfriend to sing you Grupo Frontera songs instead,My phone was on 1%,vocalist/rapper,"performance, relatable, transition hook",https://www.instagram.com/reel/DCseVcCvb8L/?igsh=MTF0dm4wd2tpMHRkaA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/5cf76a0657c6b9dfec28630aea7b13b5619ab13a.jpg
ig-C4didM1xthg,POV You're marrying the wrong person,my feelings havent changed,,"performance, transition hook, relatable",https://www.instagram.com/reel/C4didM1xthg/?igsh=Mmo1bDFyNHh1dzBv,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/d8815d2b386f1abec1e228e2a56761b79690be97.jpg
ig-DLPxzDeMceL,I wake in the morning and I step outside,Whats up pt.3,vocalist/rapper,"performance, relatable, transition hook",https://www.instagram.com/reel/DLPxzDeMceL/?igsh=MWJ0MTZhZWI0cjQyag==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/9a603ad26b9a439a36b4feb91c6592b186d51a9d.jpg
ig-DIg7uG4iUD7,,Here without you,vocalist/rapper,performance,https://www.instagram.com/reel/DIg7uG4iUD7/?igsh=MTE3YnY3NzgzbWE4dw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/1deea1541f476fc3aec6b9b246b892d753ca5527.jpg
ig-DHwLKttMCrR,What if these song had a solo,Longer solos like this on my Spotify/all streaming platforms,musician/band,"performance, relatable, storytelling",https://www.instagram.com/reel/DHwLKttMCrR/?igsh=MW1kemRmbTRpaXZoNg==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/66b9b7dcfe1fa6ef78d0bfaea62abb74aa3fc61f.jpg
ig-DKAIN9HsUUc,What if these song had a solo,OUT NOW on all streaming platforms. Links in bio,musician/band,"performance, storytelling, relatable",https://www.instagram.com/reel/DKAIN9HsUUc/?igsh=Z2F5dzlneXEzNDE4,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/9676c95f0dc951586cc3dcadb164a82fe27ce28f.jpg
ig-DMazOCupjs4,,Fireflies @owlcityofficial,vocalist/rapper,"performance, transition hook, relatable",https://www.instagram.com/reel/DMazOCupjs4/?igsh=d3N2NHBnMDZiZjFs,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/28947407fff50b91af799bfe8aa91c8964168a9c.jpg
ig-DM0ltVNSJsP,,MY FIRST HEADLINE SHOW IN LA TMRW NIGHT @moroccanlounge,vocalist/rapper,"performance, vibes, transition hook",https://www.instagram.com/reel/DM0ltVNSJsP/?igsh=MWZyOXg1YXN0dTcxYQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/dea6f9ad47b1f9c5ec590b089f8bd73bb104eee7.jpg
ig-DMvhvVpyXuX,,will u forget me? FULL MUSIC VIDEO ON YT,musician/band,"performance, storytelling, relatable",https://www.instagram.com/reel/DMvhvVpyXuX/?igsh=cnFuam5vcnVib3dk,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/02639d32cc4cef29849c6dfccfe5f8d9385779af.jpg
ig-CxHMjY3ME-U,,Oceans (spanish version) @hillsongunited Me cri musical y vocalmente,vocalist/rapper,performance,https://www.instagram.com/reel/CxHMjY3ME-U/?igsh=dmQ4d3g1bG5wZjNy,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/3792b03bbfab126a787ee5630c7310b336cfa598.jpg
ig-DKAOgL2RfQd,,Ive always had the best time playing this song!,vocalist/rapper,performance,https://www.instagram.com/reel/DKAOgL2RfQd/?igsh=MWdmeXRuaGVvNm9hbw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/88a670f2a87ac90b8291a68de612d50886a86759.jpg
ig-DJEYPncC10Q,playing in my room dreaming of a big stage,big dreams come true!!!!!!!!,dj,"performance, educational, relatable",https://www.instagram.com/reel/DJEYPncC10Q/?igsh=Ymd3enZwM3FheHlo,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/a09195705d8e7e11bac34bafdf93b9f051a879c8.jpg
ig-DKBMGkHRZ1W,,Beijou a boca errada,vocalist/rapper,"relatable, performance, educational, storytelling",https://www.instagram.com/reel/DKBMGkHRZ1W/?igsh=MTM3a2gwZDR0Z3g5MQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/bc8f2eabeaa9af402f1243f40d6825cb8d707f7e.jpg
ig-DKObB9-Rhk5,,love me not - ravyn lenae,vocalist/rapper,"performance, relatable, transition hook",https://www.instagram.com/reel/DKObB9-Rhk5/?igsh=aW11eGp3NmpnNXdp,,
ig-DKXOS_BIn3C,,Performance · Transition Hook,vocalist/rapper,"performance, transition hook",https://www.instagram.com/reel/DKXOS_BIn3C/?igsh=OGhpd2R2NGZqMTl0,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/f5ebb081367810d87a800ae46e3c532052b7fa15.jpg
ig-DIXIzi9xsam,,essa puro charme,vocalist/rapper,"performance, relatable, transition hook",https://www.instagram.com/reel/DIXIzi9xsam/?igsh=MWVndjBnZnU5NGYyNw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/3565f71517d7b781de00e8767425f0a0581b7512.jpg
ig-DIKODA8zYot,I just don't see a future WITH you,guess whos home,vocalist/rapper,"performance, transition hook, relatable, educational",https://www.instagram.com/reel/DIKODA8zYot/?igsh=MTZ4c21nemJjbHlkYw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/8e41bcfc7c26412039ef86d2d309a2410a828dd0.jpg
ig-Czg10ubOx9I,This is one of THE HARDEST y'all have requested,@whitneyhouston and @dollyparton will always be THE GREATEST!,vocalist/rapper,"performance, educational, transition hook, relatable",https://www.instagram.com/reel/Czg10ubOx9I/?igsh=MXJtbW05dm9mZTFrYw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/40cf93f1179afed02fe7080e0abe378fb2e6c6fd.jpg
ig-DKF5yy4ScsL,,Yo te amo,vocalist/rapper,"performance, transition hook, relatable",https://www.instagram.com/reel/DKF5yy4ScsL/?igsh=ZHc3ZnQ0d2J1NTI=,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/4fdb6aa4b9f8f497158eea0444f566a1ce0baac6.jpg
ig-DHqlnJCSsSw,,. FASHION DANCE . . ON @senju_juna blouson: coming,bailarines,"basado en el contexto de tendencias de baile de la columna e, las mejores categoras para sustituirlas son: - performance, transition hook, relatable, educational",https://www.instagram.com/reel/DHqlnJCSsSw/?igsh=MW51dnI3YnhmdDZ0aw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/7a0432d7383a99942aeb05a6fc5e20e447d9baad.jpg
ig-DLcpp8bIIIX,ABBA SUPER - JUMPERC,"TikTok is for dancing videos, right? - right?",musician/band,"performance, storytelling, relatable",https://www.instagram.com/reel/DLcpp8bIIIX/?igsh=Y2h3ZXdvcDJ1am51,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/c36327057d0aca2d6523c74cbb820bab6831c95b.jpg
ig-DKl8Ncgov8V,TAYLOR - KRAVITZ,Remember this?,musician/band,"performance, storytelling, relatable",https://www.instagram.com/reel/DKl8Ncgov8V/?igsh=MWhpenc1OXQ4dXV1dQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/8d6598c506f0311313f3a0251b0e9dc0f8d42e79.jpg
ig-DHk_YtTR64q,Foo Fighers but Funky?,"""Best of You"" just got funkified! Benni's killer take",musician/band,"performance, storytelling, relatable",https://www.instagram.com/reel/DHk_YtTR64q/?igsh=dGtiOG8zMnN5d2F5,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/a116d05f25f5a05a78d23daae43f293a987bffda.jpg
ig-DOKJm_-DFAf,Escribi una cancion para mis hijas y nunca imagine su impacto,"CANCIN: MI REGALO: Esta historia nunca deja de maravillarme,",vocalist/rapper,"performance, relatable, transition hook, comedy/sketch",https://www.instagram.com/reel/DOKJm_-DFAf/?igsh=MXMxczE4bjk4ZGN6dw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/7e38607362faa41e9db8306fdc32a214cd661289.jpg
ig-DGvkTLAPpqJ,,Linkin Park fans! This is one of my favorite,musician/band,"performance, storytelling, relatable, motivational / emotional",https://www.instagram.com/reel/DGvkTLAPpqJ/?igsh=MW1qZGFzaWYyYXFwaA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/80e367388151acc1419c6a7de6acb41e1c3cd5c5.jpg
ig-C_GMhoQv6dW,Can you guess the song?,Can you guess the song? This is one of,musician/band,"basado en la categora inicial tendencias bandas, msicos, las mejores opciones de las proporcionadas para clasificar este contenido son: - performance, transition hook, relatable, storytelling",https://www.instagram.com/reel/C_GMhoQv6dW/?igsh=eXk4b3d5MWwxYXR0,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/53a1829561e44e632be3ddcdfbb42994ec1455d3.jpg
ig-DKNhqhOPuUG,,Hard times,musician/band,"performance, storytelling, educational",https://www.instagram.com/reel/DKNhqhOPuUG/?igsh=MWt6YXZzbHdka240dQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/7f59e26dcd2680edfc88d2913bbde5ed4a89028d.jpg
ig-DLNRGwzu4TZ,,save your tears - the weeknd,vocalist/rapper,"performance, transition hook, relatable",https://www.instagram.com/reel/DLNRGwzu4TZ/?igsh=bDcxYm51cW0ydndz,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/a8ab120d6919fda9b3aad88a0c948f5be317db74.jpg
ig-DHg-kq7uhiW,NO AMP ??,Whats the last show you went to? // Song:,musician/band,performance,https://www.instagram.com/reel/DHg-kq7uhiW/?igsh=MWxyNGxlZDV4YnpiNA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/d75b19ee2399c8a979493e94283357e1a1e37506.jpg
ig-DDDFw_MuZ0c,,Any song youre learning? Electric Sunrise by Plini is,musician/band,"performance, relatable, storytelling",https://www.instagram.com/reel/DDDFw_MuZ0c/?igsh=bm12MTlzYjNxODB4,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/4e510edbf84907ab1886d5a27eb6786f6ced81b9.jpg
ig-DNQpCVRRMTy,,First and not the last time at @mdcdance -,bailarines,"performance, relatable, transition hook",https://www.instagram.com/reel/DNQpCVRRMTy/?igsh=MW50Znk5bHZyMzh1Zw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/61fcbd36b3f23b038bf6587513193f0112a741e8.jpg
ig-DGgwOYeJB-_,"Dance first. think later, It's later, It's the natural order",Performance · Transition Hook · Relatable,vocalist/rapper,"performance, transition hook, relatable",https://www.instagram.com/reel/DGgwOYeJB-_/?igsh=MTd4aHlzd3IzM2R1Mg==,,
ig-DJwB7ajyZIB,,New ROS - Messy (cover),vocalist/rapper,"performance, transition hook, relatable",https://www.instagram.com/reel/DJwB7ajyZIB/?igsh=MW1pZW13Y2ZqOWJzag==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/3bf95f10f7dbba5e26573cdbab681d4e04557cfd.jpg
ig-DHbk6YgRFho,Send this song to your best friend to let her know how much you love her,Right Where We Left Off is out NOW!!!,vocalist/rapper,"performance, transition hook, relatable",https://www.instagram.com/reel/DHbk6YgRFho/?igsh=bTF3cHFwbThqN2Nu,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/9f5a6bccdab37b2ac1ed5e224128acbcdad8ac2c.jpg
ig-DIy1i_1Ndno,,@fender,musician/band,"performance, storytelling, relatable",https://www.instagram.com/reel/DIy1i_1Ndno/?igsh=ZDBxczlicnAzNWtl,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/b708010266ab2f0bf2e66a9fa31c2a34b8e0883e.jpg
ig-DL0balMRVBd,2025 song but in 1950's STYLE,Sorelle Studio Session Our Lollapalooza countdown! If Bad Idea,,"performance, transition hook, relatable",https://www.instagram.com/reel/DL0balMRVBd/?igsh=MTFwMHcxYTRhM21ieg==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/c49542c56d27ac1930c6a1d998b8a6d38ba58136.jpg
ig-DGGZVcpsWAq,,AFRICA @totothemselves @stevelukatherofficial,musician/band,"performance, storytelling, relatable",https://www.instagram.com/reel/DGGZVcpsWAq/?igsh=MWx3YzN2YXpkbHc5MQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/706d428ace4711f3a55f4fae58264a2b33a70448.jpg
ig-DGOQ61TSO1J,EMO NIGHT,"Im gonna keep on dancing 3/13 Fresno, CA -",musician/band,"performance, educational, storytelling, relatable",https://www.instagram.com/reel/DGOQ61TSO1J/?igsh=OG9mbmIzdDhlaWxn,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/4b7b8e99f1e2b47dc2f16c781c6b335237d174b6.jpg
ig-DNDw1kuRK5_,,TIPTOEING out 8.14.25 pre-save now in bio,musician/band,"performance, storytelling, educational",https://www.instagram.com/reel/DNDw1kuRK5_/?igsh=cnA3MGJ6dGRtbjY=,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/fcbc2ddced8bf8f660f8546abfa41bc61770e30b.jpg
ig-DItu99aJPT7,,@offspring - @remopercussion @meinlcymbals @meinlstickandbrush…,musician/band,"performance, storytelling, relatable",https://www.instagram.com/reel/DItu99aJPT7/?igsh=ZGF5b2FnZjBsM2k0,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/54226fa77277060922e5cacc83fdf3f7e501c699.jpg
ig-DHM04juAthy,,EMERGENCE // SLEEP TOKEN I love the sound of,musician/band,"performance, relatable, storytelling, transition hook",https://www.instagram.com/reel/DHM04juAthy/?igsh=Ym9lZXZta2w3M3Nr,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/1794659b082c9916657ad192e360811a57b47f07.jpg
ig-DH8rirLJBup,,Feel Good Inc. - Gorillaz @maxlopez1200 @ratbro_ @8o5.austin…,musician/band,"performance, relatable, transition hook, comedy/sketch",https://www.instagram.com/reel/DH8rirLJBup/?igsh=MXh0aTlydG1wdWFoaQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/b70b8472953dd8eb9fb36d1f5fe2d9a9671d4f17.jpg
ig-DHO7xtfSdka,,Highly requested cover of @pinkfloyd The Great Gig in,musician/band,"performance, storytelling, relatable",https://www.instagram.com/reel/DHO7xtfSdka/?igsh=MWtsdWt3NmVyd251dQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/a41f8f223502f2196809b8648e569dcf50f4a496.jpg
